method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA (Full),A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.6587505340576172,9
w/o Transform Weight,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6558895111083984,9
w/o Attenuation,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.6248950958251953,9
w/o Anomaly Score,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,23,0,0,0,0.043478260869565216,1.0,0.6248950958251953,9
APA-RCA v2 (Full),A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6299018859863281,9
v2 w/o Adaptive Weight,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.6227493286132812,9
v2 w/o Score-inv Beta,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6191730499267578,9
v2 w/o Ancestor Const,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.5998611450195312,9
Schema-Constraint,A1_source_corruption,medium,0,SRC_STOCK_5_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.0,0
APA-RCA (Full),A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6868839263916016,9
w/o Transform Weight,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.640869140625,9
w/o Attenuation,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6263256072998047,9
w/o Anomaly Score,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,11,0,0,0,0.09090909090909091,1.0,0.6210803985595703,9
APA-RCA v2 (Full),A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.60272216796875,9
v2 w/o Adaptive Weight,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.6008148193359375,9
v2 w/o Score-inv Beta,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6299018859863281,9
v2 w/o Ancestor Const,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.61798095703125,9
Schema-Constraint,A1_source_corruption,medium,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA (Full),A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.6241798400878906,9
w/o Transform Weight,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.1448860168457031,9
w/o Attenuation,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.6270408630371094,9
w/o Anomaly Score,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,23,0,0,0,0.043478260869565216,1.0,0.6031990051269531,9
APA-RCA v2 (Full),A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6060600280761719,9
v2 w/o Adaptive Weight,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.6039142608642578,9
v2 w/o Score-inv Beta,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.5807876586914062,9
v2 w/o Ancestor Const,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6279945373535156,9
Schema-Constraint,A1_source_corruption,medium,2,SRC_STOCK_5_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.0,0
APA-RCA (Full),A1_source_corruption,medium,3,SRC_STOCK_5_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.6382465362548828,9
w/o Transform Weight,A1_source_corruption,medium,3,SRC_STOCK_5_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6449222564697266,9
w/o Attenuation,A1_source_corruption,medium,3,SRC_STOCK_5_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.6160736083984375,9
