method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,0,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4469623565673828,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,1,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4181137084960938,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,2,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4352798461914062,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,3,SRC_STOCK_10_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,1.3859272003173828,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,4,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4541149139404297,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,5,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4619827270507812,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,6,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4100074768066406,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,7,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4319419860839844,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,8,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4050006866455078,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,9,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.399993896484375,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,10,SRC_STOCK_10_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.405954360961914,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,11,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,1.4281272888183594,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,12,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4891624450683594,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,13,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3661384582519531,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,14,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3608932495117188,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,15,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.626729965209961,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,16,SRC_STOCK_7_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4052391052246094,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,17,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4810562133789062,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,18,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4200210571289062,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,19,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4247894287109375,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,20,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4231204986572266,9
blend_a00+APA+ResGCN,A1_source_corruption,medium_real,21,SRC_STOCK_4_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4209747314453125,9
