method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.621795654296875,9
VAE+APA-RCA,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.43892860412597656,9
APA-RCA-v2,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.4680156707763672,9
VAE+APA-RCA,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.4341602325439453,9
APA-RCA-v2,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4849433898925781,9
VAE+APA-RCA,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.43201446533203125,9
APA-RCA-v2,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.5488395690917969,9
VAE+APA-RCA,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4620552062988281,9
APA-RCA-v2,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.5009174346923828,9
VAE+APA-RCA,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_REG_VAR,1.0,1,1,1,1.0,0.8,0.43582916259765625,9
APA-RCA-v2,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5049705505371094,9
VAE+APA-RCA,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.43511390686035156,9
APA-RCA-v2,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5362033843994141,9
VAE+APA-RCA,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4661083221435547,9
APA-RCA-v2,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.49996376037597656,9
VAE+APA-RCA,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.43010711669921875,9
APA-RCA-v2,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.5052089691162109,9
VAE+APA-RCA,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.42510032653808594,9
APA-RCA-v2,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5171298980712891,9
VAE+APA-RCA,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4570484161376953,9
APA-RCA-v2,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.46896934509277344,9
VAE+APA-RCA,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.431060791015625,9
APA-RCA-v2,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5047321319580078,9
VAE+APA-RCA,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.44417381286621094,9
APA-RCA-v2,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4909038543701172,9
VAE+APA-RCA,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4379749298095703,9
APA-RCA-v2,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5612373352050781,9
VAE+APA-RCA,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.46515464782714844,9
APA-RCA-v2,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4780292510986328,9
