method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.61798095703125,9
CVAE+APA-RCA,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4849433898925781,9
APA-RCA-v2,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.46515464782714844,9
CVAE+APA-RCA,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.46825408935546875,9
APA-RCA-v2,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.492095947265625,9
CVAE+APA-RCA,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.48279762268066406,9
APA-RCA-v2,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4711151123046875,9
CVAE+APA-RCA,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.46706199645996094,9
APA-RCA-v2,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4489421844482422,9
CVAE+APA-RCA,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4627704620361328,9
APA-RCA-v2,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4558563232421875,9
CVAE+APA-RCA,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4699230194091797,9
APA-RCA-v2,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.469207763671875,9
CVAE+APA-RCA,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.46515464782714844,9
APA-RCA-v2,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4868507385253906,9
CVAE+APA-RCA,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4868507385253906,9
APA-RCA-v2,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4887580871582031,9
CVAE+APA-RCA,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1.0,1,1,1,1.0,0.8,0.4820823669433594,9
APA-RCA-v2,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.48089027404785156,9
CVAE+APA-RCA,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4780292510986328,9
APA-RCA-v2,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4820823669433594,9
CVAE+APA-RCA,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.48804283142089844,9
APA-RCA-v2,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4858970642089844,9
CVAE+APA-RCA,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5388259887695312,9
APA-RCA-v2,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4830360412597656,9
CVAE+APA-RCA,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47588348388671875,9
APA-RCA-v2,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4801750183105469,9
CVAE+APA-RCA,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4780292510986328,9
APA-RCA-v2,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.49185752868652344,9
CVAE+APA-RCA,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.48804283142089844,9
APA-RCA-v2,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5040168762207031,9
CVAE+APA-RCA,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5519390106201172,9
APA-RCA-v2,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4870891571044922,9
CVAE+APA-RCA,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4799365997314453,9
APA-RCA-v2,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4811286926269531,9
CVAE+APA-RCA,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4811286926269531,9
APA-RCA-v2,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5097389221191406,9
CVAE+APA-RCA,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47707557678222656,9
