method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A1_source_corruption,medium_real,0,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6718635559082031,9
AnomalyOnly,A1_source_corruption,medium_real,0,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.008821487426757812,1
APA-RCA-v2,A1_source_corruption,medium_real,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.8089542388916016,9
AnomalyOnly,A1_source_corruption,medium_real,1,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A1_source_corruption,medium_real,2,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6542205810546875,9
AnomalyOnly,A1_source_corruption,medium_real,2,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0073909759521484375,1
APA-RCA-v2,A1_source_corruption,medium_real,3,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.9322166442871094,9
AnomalyOnly,A1_source_corruption,medium_real,3,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.007152557373046875,1
APA-RCA-v2,A1_source_corruption,medium_real,4,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6279945373535156,9
AnomalyOnly,A1_source_corruption,medium_real,4,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.008106231689453125,1
APA-RCA-v2,A1_source_corruption,medium_real,5,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6399154663085938,9
AnomalyOnly,A1_source_corruption,medium_real,5,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A1_source_corruption,medium_real,6,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.7128715515136719,9
AnomalyOnly,A1_source_corruption,medium_real,6,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.007867813110351562,1
APA-RCA-v2,A1_source_corruption,medium_real,7,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6630420684814453,9
AnomalyOnly,A1_source_corruption,medium_real,7,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A1_source_corruption,medium_real,8,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6768703460693359,9
