method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A1_source_corruption,medium_real,0,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,2.2819042205810547,9
APA-RCA-v3,A1_source_corruption,medium_real,0,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.5060901641845703,9
AnomalyOnly,A1_source_corruption,medium_real,0,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.017881393432617188,1
Schema-Constraint,A1_source_corruption,medium_real,0,SRC_STOCK_11_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,1,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.5680789947509766,9
APA-RCA-v3,A1_source_corruption,medium_real,1,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3720989227294922,9
AnomalyOnly,A1_source_corruption,medium_real,1,SRC_STOCK_6_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015735626220703125,1
Schema-Constraint,A1_source_corruption,medium_real,1,SRC_STOCK_6_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,2,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4300346374511719,9
APA-RCA-v3,A1_source_corruption,medium_real,2,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.352071762084961,9
AnomalyOnly,A1_source_corruption,medium_real,2,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.01621246337890625,1
Schema-Constraint,A1_source_corruption,medium_real,2,SRC_STOCK_11_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,3,SRC_STOCK_10_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,2.0737648010253906,9
APA-RCA-v3,A1_source_corruption,medium_real,3,SRC_STOCK_10_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,1.4269351959228516,9
AnomalyOnly,A1_source_corruption,medium_real,3,SRC_STOCK_10_PRICE,REPORT_LIMIT,14,0,0,0,0.07142857142857142,1.0,0.01621246337890625,1
Schema-Constraint,A1_source_corruption,medium_real,3,SRC_STOCK_10_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,4,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,4.868984222412109,9
APA-RCA-v3,A1_source_corruption,medium_real,4,SRC_STOCK_9_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.377105712890625,9
