method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4940032958984375,9
Schema-Constraint,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4839897155761719,9
Schema-Constraint,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.49424171447753906,9
Schema-Constraint,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.4711151123046875,9
Schema-Constraint,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4909038543701172,9
Schema-Constraint,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.492095947265625,9
Schema-Constraint,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.4730224609375,9
Schema-Constraint,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.45800209045410156,9
Schema-Constraint,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.4673004150390625,9
Schema-Constraint,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.46181678771972656,9
Schema-Constraint,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.49495697021484375,9
Schema-Constraint,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4839897155761719,9
Schema-Constraint,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
APA-RCA,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4868507385253906,9
Schema-Constraint,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
APA-RCA,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4608631134033203,9
Schema-Constraint,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
APA-RCA,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4680156707763672,9
Schema-Constraint,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
APA-RCA,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.47087669372558594,9
Schema-Constraint,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
