weight,scale,value,top5,mrr,delta_top5,delta_mrr
BASELINE,1.0,,71.42857142857143,0.5173548249917866,0.0,0.0
W1_zscore_blend,0.7,0.42,72.85714285714285,0.5630353632891272,1.4285714285714164,0.045680538297340534
W1_zscore_blend,0.85,0.51,72.85714285714285,0.5506950935041177,1.4285714285714164,0.03334026851233107
W1_zscore_blend,1.0,0.6,71.42857142857143,0.5173548249917866,0.0,0.0
W1_zscore_blend,1.15,0.69,70.0,0.4993693150374581,-1.4285714285714306,-0.01798550995432857
W1_zscore_blend,1.3,0.78,67.14285714285714,0.4879645003857062,-4.285714285714292,-0.02939032460608043
W2_var_signal_cap,0.7,0.5599999999999999,71.42857142857143,0.5391779562537478,0.0,0.021823131261961115
W2_var_signal_cap,0.85,0.68,71.42857142857143,0.49478152521116975,0.0,-0.022573299780616896
W2_var_signal_cap,1.0,0.8,71.42857142857143,0.5173548249917866,0.0,0.0
W2_var_signal_cap,1.15,0.9199999999999999,71.42857142857143,0.5113624608744226,0.0,-0.005992364117364035
W2_var_signal_cap,1.3,1.0,71.42857142857143,0.5052818086578819,0.0,-0.012073016333904785
W3_L3_raw,0.7,0.385,71.42857142857143,0.5180453883849285,0.0,0.0006905633931418853
W3_L3_raw,0.85,0.4675,71.42857142857143,0.5180592513578053,0.0,0.0007044263660186401
W3_L3_raw,1.0,0.55,71.42857142857143,0.5173548249917866,0.0,0.0
W3_L3_raw,1.15,0.6325,71.42857142857143,0.5172846178296611,0.0,-7.020716212557954e-05
W3_L3_raw,1.3,0.7150000000000001,72.85714285714285,0.5203090964666167,1.4285714285714164,0.0029542714748300725
W4_L3_excess,0.7,0.595,71.42857142857143,0.5388490724572884,0.0,0.02149424746550177
W4_L3_excess,0.85,0.7224999999999999,71.42857142857143,0.5391135952098325,0.0,0.021758770218045842
W4_L3_excess,1.0,0.85,71.42857142857143,0.5173548249917866,0.0,0.0
W4_L3_excess,1.15,0.9774999999999999,71.42857142857143,0.5152630935977575,0.0,-0.0020917313940291837
W4_L3_excess,1.3,1.0,71.42857142857143,0.5081622851584396,0.0,-0.009192539833347002
W5_L3_sl,0.7,0.5599999999999999,71.42857142857143,0.5173548249917866,0.0,0.0
W5_L3_sl,0.85,0.68,71.42857142857143,0.5173548249917866,0.0,0.0
W5_L3_sl,1.0,0.8,71.42857142857143,0.5173548249917866,0.0,0.0
W5_L3_sl,1.15,0.9199999999999999,71.42857142857143,0.5173548249917866,0.0,0.0
W5_L3_sl,1.3,1.0,71.42857142857143,0.5173548249917866,0.0,0.0
W6_L3_peer,0.7,0.63,71.42857142857143,0.5173548249917866,0.0,0.0
W6_L3_peer,0.85,0.765,71.42857142857143,0.5173548249917866,0.0,0.0
W6_L3_peer,1.0,0.9,71.42857142857143,0.5173548249917866,0.0,0.0
W6_L3_peer,1.15,1.0,71.42857142857143,0.5173548249917866,0.0,0.0
W6_L3_peer,1.3,1.0,71.42857142857143,0.5173548249917866,0.0,0.0
W7_L4_raw,0.7,0.27999999999999997,71.42857142857143,0.4972094244958644,0.0,-0.020145400495922228
W7_L4_raw,0.85,0.34,71.42857142857143,0.4722726389335946,0.0,-0.04508218605819203
W7_L4_raw,1.0,0.4,71.42857142857143,0.5173548249917866,0.0,0.0
W7_L4_raw,1.15,0.45999999999999996,71.42857142857143,0.5333328934919139,0.0,0.015978068500127285
W7_L4_raw,1.3,0.52,71.42857142857143,0.5244571058025312,0.0,0.007102280810744599
W8_L4_excess,0.7,0.42,71.42857142857143,0.5175345217281992,0.0,0.00017969673641260453
W8_L4_excess,0.85,0.51,71.42857142857143,0.5174310773200756,0.0,7.625232828900597e-05
W8_L4_excess,1.0,0.6,71.42857142857143,0.5173548249917866,0.0,0.0
W8_L4_excess,1.15,0.69,71.42857142857143,0.5268355874864864,0.0,0.009480762494699757
W8_L4_excess,1.3,0.78,70.0,0.520842707080348,-1.4285714285714306,0.0034878820885613226
