method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,0,SRC_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,26.916980743408203,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,1,SRC_STOCK_6_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,23.782014846801758,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,2,SRC_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,32.147884368896484,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,3,SRC_STOCK_10_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,22.536277770996094,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,4,SRC_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,23.32782745361328,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,5,SRC_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,28.61809730529785,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,6,SRC_STOCK_6_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,39.105892181396484,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,7,SRC_STOCK_12_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,22.845983505249023,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,8,SRC_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,22.548913955688477,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,9,SRC_STOCK_6_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,35.02321243286133,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,10,SRC_STOCK_10_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,19.559860229492188,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,11,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,32.43708610534668,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,12,SRC_STOCK_8_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,24.169206619262695,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,13,SRC_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,21.62480354309082,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,14,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,63.858985900878906,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,15,SRC_STOCK_12_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,35.92658042907715,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,16,SRC_STOCK_7_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,57.46889114379883,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,17,SRC_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,47.46890068054199,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,18,SRC_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,13.730049133300781,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,19,SRC_STOCK_8_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,65.16289710998535,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,20,SRC_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,71.89226150512695,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,21,SRC_STOCK_4_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,42.7699089050293,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,22,SRC_STOCK_10_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,25.777101516723633,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,23,SRC_STOCK_1_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,24.89018440246582,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,24,SRC_STOCK_5_PRICE,REPORT_REG_VAR,1,1,1,1,1.0,0.8,26.385068893432617,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,25,SRC_STOCK_7_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,37.10317611694336,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,26,SRC_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,57.23381042480469,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,27,SRC_STOCK_1_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,31.70609474182129,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,28,SRC_STOCK_8_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,34.832000732421875,9
HybridTSD+APA-RCA+ResGCN,A1_source_corruption,medium_real,29,SRC_STOCK_12_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,33.041954040527344,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,0,ETL_FX_STOCK_11_PRICE,REPORT_STRESS,66,0,0,0,0.015151515151515152,1.0,14.560937881469727,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,1,ETL_FX_STOCK_6_PRICE,REPORT_STRESS,71,0,0,0,0.014084507042253521,1.0,74.08380508422852,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,2,ETL_FX_STOCK_11_PRICE,REPORT_STRESS,70,0,0,0,0.014285714285714285,1.0,23.084163665771484,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,3,ETL_FX_STOCK_10_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,30.360698699951172,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,4,ETL_FX_STOCK_9_PRICE,REPORT_STRESS,67,0,0,0,0.014925373134328358,1.0,42.21487045288086,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,5,ETL_FX_STOCK_9_PRICE,REPORT_STRESS,67,0,0,0,0.014925373134328358,1.0,49.25537109375,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,6,ETL_FX_STOCK_6_PRICE,REPORT_STRESS,70,0,0,0,0.014285714285714285,1.0,23.617982864379883,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,7,ETL_FX_STOCK_12_PRICE,REPORT_STRESS,72,0,0,0,0.013888888888888888,1.0,19.19269561767578,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,8,ETL_FX_STOCK_9_PRICE,REPORT_STRESS,71,0,0,0,0.014084507042253521,1.0,34.14177894592285,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,9,ETL_FX_STOCK_6_PRICE,REPORT_STRESS,69,0,0,0,0.014492753623188406,1.0,21.49486541748047,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,10,ETL_FX_STOCK_10_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,36.13901138305664,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,11,ETL_FX_STOCK_2_PRICE,REPORT_STRESS,70,0,0,0,0.014285714285714285,1.0,43.88594627380371,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,12,ETL_FX_STOCK_8_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,15.434026718139648,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,13,ETL_FX_STOCK_11_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,64.29386138916016,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,14,ETL_FX_STOCK_2_PRICE,REPORT_STRESS,66,0,0,0,0.015151515151515152,1.0,13.31782341003418,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,15,ETL_FX_STOCK_12_PRICE,REPORT_STRESS,72,0,0,0,0.013888888888888888,1.0,62.155961990356445,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,16,ETL_FX_STOCK_7_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,42.160749435424805,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,17,ETL_FX_STOCK_9_PRICE,REPORT_STRESS,67,0,0,0,0.014925373134328358,1.0,91.23611450195312,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,18,ETL_FX_STOCK_11_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,41.66293144226074,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,19,ETL_FX_STOCK_8_PRICE,REPORT_STRESS,66,0,0,0,0.015151515151515152,1.0,25.68197250366211,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,20,ETL_FX_STOCK_11_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,11.960268020629883,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,21,ETL_FX_STOCK_4_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,61.691999435424805,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,22,ETL_FX_STOCK_10_PRICE,REPORT_STRESS,70,0,0,0,0.014285714285714285,1.0,22.769927978515625,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,23,ETL_FX_STOCK_1_PRICE,REPORT_STRESS,67,0,0,0,0.014925373134328358,1.0,21.719694137573242,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,24,ETL_FX_STOCK_5_PRICE,REPORT_STRESS,69,0,0,0,0.014492753623188406,1.0,33.138275146484375,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,25,ETL_FX_STOCK_7_PRICE,REPORT_STRESS,69,0,0,0,0.014492753623188406,1.0,39.9172306060791,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,26,ETL_FX_STOCK_11_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,17.792940139770508,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,27,ETL_FX_STOCK_1_PRICE,REPORT_STRESS,63,0,0,0,0.015873015873015872,1.0,45.4409122467041,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,28,ETL_FX_STOCK_8_PRICE,REPORT_STRESS,68,0,0,0,0.014705882352941176,1.0,29.710054397583008,9
HybridTSD+APA-RCA+ResGCN,A2_etl_logic_error,medium_real,29,ETL_FX_STOCK_12_PRICE,REPORT_STRESS,71,0,0,0,0.014084507042253521,1.0,32.49788284301758,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,0,FEAT_VOL20_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,36.791086196899414,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,1,FEAT_VOL20_STOCK_6_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,34.49082374572754,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,2,FEAT_VOL20_STOCK_11_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,54.47196960449219,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,3,FEAT_VOL20_STOCK_10_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,32.05108642578125,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,4,FEAT_VOL20_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,16.01719856262207,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,5,FEAT_VOL20_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,39.45612907409668,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,6,FEAT_VOL20_STOCK_6_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,23.40412139892578,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,7,FEAT_VOL20_STOCK_12_PRICE,REPORT_STRESS,67,0,0,0,0.014925373134328358,1.0,20.002126693725586,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,8,FEAT_VOL20_STOCK_9_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,23.452043533325195,9
HybridTSD+APA-RCA+ResGCN,A3_feature_calc_error,medium_real,9,FEAT_VOL20_STOCK_6_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,46.11611366271973,9
